School_code#School_name#development_region#Eco_Belt#Zone#District#VDC#Address#Ward_No#Locality#ECD#PRIMARY#LSEC#SEC#HSEC
10150001#Nawa Jyoti Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Bagalegaun#1#Urban##Community_aided###
10150002#Handrung Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Handrung#4#Urban##Community_Managed###
10150003#Besigau Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Khurpadin#6#Rural#Community_Managed#Community_Managed#Community_Unaided##
10150004#Sagarmatha Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Thapagaou#5#Urban#Community_aided#Community_aided###
10150005#Wairakhu Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Wairakhu#8#Urban#Community_Managed#Community_Managed###
10150006#Ojha Gaun Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Makelok#9#Urban#Community_Managed#Community_Managed#Community_Unaided##
10150007#Sunkhani Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Khatrigaun#2#Urban#Community_Teacher_aided#Community_Teacher_aided###
10150008#Kanchanjangha Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Ratmate#4#Urban#Community_aided#Community_aided###
10150009#Moti Uchha Ma V#Eastern#Mountain#Mechi#Taplejung#Khokling#Dadagau#3#Urban#Community_aided#Community_aided#Community_aided#Community_aided#Community_Teacher_aided
10150010#Andheri Pra V#Eastern#Mountain#Mechi#Taplejung#Khokling#Dhuseni#7#Urban#Community_Teacher_aided#Community_Teacher_aided###
10160001#Gyabla Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Gyabla#8#Urban##Community_Managed###
10160002#Ghunsa Ni Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Lelep#Ghunsa#9#Rural#Community_Managed#Community_Managed#Community_Managed##
10160003#Lawajin Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Lawajin#4#Rural##Community_aided###
10160004#Lungthung Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Lungthung#6#Urban##Community_aided###
10160005#Mahendra Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Lelep#1#Rural##Community_Managed#Community_Unaided##
10160006#Nagthan Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Sekhathum#7#Urban#Community_Teacher_aided#Community_Teacher_aided###
10160007#Nuplung Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Nuplung#5#Urban##Community_Teacher_aided###
10160008#Phale Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Phale#9#Urban##Community_Managed###
10160009#Saraswati Chyaribook Higher Secondary School#Eastern#Mountain#Mechi#Taplejung#Lelep#Lelep#3#Urban##Community_aided#Community_aided#Community_aided#Community_Unaided
10160010#Sabitri Pra V#Eastern#Mountain#Mechi#Taplejung#Lelep#Madibung#2#Urban#Community_aided#Community_aided###
