School_code,School_name,development_region,Eco_Belt,Zone,District,VDC,Address,Ward_No,Locality,ECD,PRIMARY,LSEC,SEC,HSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120013,Sarvodaya Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Damak,10,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120014,Creative Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Chowk,15,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120015,Damak Adarsha Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Setumari,13,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120016,Pathibhara Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Mandir,8,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120018,Chulachuli Awasiya Ebs,Eastern,Terai,Mechi,Jhapa,N.p.,Road,1,Rural,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120023,Pashupati Sanskrit Ma V,Eastern,Terai,Mechi,Jhapa,N.p.,Tole,13,Urban,Community_aided,Community_aided,Community_aided,Community_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40120025,Singha Dev Uchha Ma V,Eastern,Terai,Mechi,Jhapa,N.p.,Baragare,19,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020001,Araniko Memorial Ebs,Eastern,Terai,Koshi,Morang,Amardaha,Bazar,1,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020003,Janata Ma V,Eastern,Terai,Koshi,Morang,Amardaha,Ashram,7,Rural,Community_aided,Community_Managed,Community_Managed,Community_Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020006,Mount Everest Ebs,Eastern,Terai,Koshi,Morang,Amardaha,Bazar,1,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
